Price,Date_Place,Brand,Year,New_Car,Engine,Km,Transmission,Gas
€12.900,Limassol,Dacia,2017,Duster ,"1,5L",67000,Manual,Diesel
€25.500,Limassol,Seat,2022,Leon ,"1,5L",23500,Automatic,Hybrid
€7.500,Limassol,Nissan,2014,March ,"1,2L",127000,Automatic,Petrol
€35.300,Lefkosia,Lexus,2018,NX ,"2,5L",141000,Automatic,Petrol
€5.200,Limassol,Isuzu,1993,Pick-up ,"2,8L",389622,Manual,Diesel
€5.000,Limassol,Honda,2006,Civic ,"1,8L",183000,Automatic,Petrol
€29.750,Larnaca,Mercedes-Benz,2016,C-Class ,"2,2L",183357,Automatic,Diesel
€5.800,Lefkosia,MG,2003,ZT ,"1,8L",140800,Manual,Petrol
€59.000,Limassol,Audi,2018,RS5 ,"2,9L",50000,Automatic,Petrol
€79.000,Limassol,Audi,2019,Q8 ,"3,0L",17500,Automatic,Diesel
€140.000,Larnaca,Mercedes-Benz,2018,G-Class ,"3,0L",45000,Automatic,Diesel
€21.900,Larnaca,Mazda,2019,3 ,"2,0L",79000,Automatic,Petrol
€3.800,Larnaca,Mitsubishi,2006,Colt ,"1,3L",127000,Automatic,Petrol
€3.500,Larnaca,"Opel,",2004,Vauxhall Astra ,"1,4L",158000,Manual,Petrol
€5.500,Paphos,Chevrolet,1990,Luv ,"2,5L",460000,Manual,Diesel
€4.200,Limassol,BMW,2005,3-Series ,"2,0L",230000,Automatic,Petrol
€14.000,Lefkosia,Honda,2019,Fit ,"1,3L",65000,Automatic,Petrol
€59.000,Paphos,Land,2017,Rover Range Rover Sport ,"3,0L",70000,Automatic,Diesel
€33.000,Paphos,Mercedes-Benz,2017,SLC-Class ,"2,5L",50000,Automatic,Diesel
€33.000,Limassol,BMW,2022,2-Series ,"2,2L",5000,Automatic,Petrol
€55.000,Paphos,Land,2014,Rover Range Rover Sport ,"3,0L",160000,Automatic,Diesel
€3.500,Lefkosia,Mercedes-Benz,2004,C-Class ,"2,1L",300000,Automatic,Diesel
€25.700,Paphos,Honda,2020,Vezel ,"1,5L",20000,Automatic,Petrol
€800,Larnaca,Nissan,1995,Pulsar ,"1,5L",154964,Automatic,Petrol
€9.900,Paphos,Peugeot,2014,2008 ,"1,6L",103000,Automatic,Diesel
€74.950,Paphos,Land,2018,Rover Range Rover Sport ,"2,0L",74000,Automatic,Plug-In
€22.700,Paphos,Honda,2018,Vezel ,"1,5L",69000,Automatic,Petrol
€22.700,Paphos,Toyota,2018,C-HR ,"1,8L",55700,Automatic,Hybrid
€2.000,Lefkosia,Mazda,2000,Demio ,"1,3L",372000,Automatic,Petrol
€38.500,Lefkosia,Porsche,2016,Macan ,"3,0L",175000,Automatic,Diesel
€10.500,Lefkosia,Mazda,2016,Demio ,"1,5L",115750,Automatic,Diesel
€26.000,Limassol,Toyota,2020,C-HR ,"1,8L",28500,Automatic,Hybrid
€32.000,Lefkosia,BMW,2018,5-Series ,"2,0L",73000,Automatic,Diesel
€89.000           ,Larnaca,Land,2020,Rover Range Rover Vogue ,"3,0L",41000,Automatic,Diesel
€39.950,Limassol,BMW,2015,X6 ,"3,0L",110000,Automatic,Diesel
€6.000,Limassol,BMW,2008,1-Series ,"1,6L",185000,Automatic,Petrol
€33.500,Limassol,BMW,2013,6-Series ,"3,0L",89768,Automatic,Petrol
€11.400,Limassol,BMW,2012,X1 ,"2,0L",233355,Automatic,Diesel
€7.200,Famagusta,Chevrolet,2012,Cruze ,"1,6L",81600,Manual,Petrol
€42.300,Limassol,Mercedes-Benz,2018,E-Class ,"2,0L",94000,Automatic,Diesel
€27.999,Limassol,Lexus,2016,IS ,"3,0L",99000,Automatic,Hybrid
€7.250,Limassol,"Opel,",2015,Vauxhall Corsa ,"1,4L",126000,Automatic,Petrol
€18.500,Limassol,Smart,2018,Fortwo ,"0,9L",28570,Automatic,Petrol
€13.000,Limassol,Nissan,2012,Qashqai ,"2,0L",66500,Automatic,Diesel
€38.800,Limassol,BMW,2015,X6 ,"3,0L",85000,Automatic,Diesel
€46.000,Limassol,Mercedes-Benz,2019,E-Class ,"2,1L",98000,Automatic,Diesel
€4.500,Lefkosia,Nissan,2006,March ,"1,6L",106000,Manual,Petrol
€7.500,Lefkosia,Daihatsu,2018,Mira ,"0,7L",14800,Automatic,Petrol
€1.500,Limassol,Mitsubishi,1994,Space Star ,"2,0L",280000,Manual,Diesel
€28.900,Paphos,BMW,2017,X1 ,"2,0L",31500,Automatic,Petrol
€5.000,Limassol,Mini,2006,Cooper ,"1,6L",116,Manual,Petrol
€15.000,Lefkosia,Honda,2015,Civic ,"1,6L",140000,Manual,Diesel
€16.500,Limassol,Mazda,2019,Demio ,"1,5L",26000,Automatic,Petrol
€1.800,Lefkosia,Nissan,1998,March ,"1,0L",300000,Automatic,Petrol
€12.500,Larnaca,Mercedes-Benz,2010,C-Class ,"1,6L",144000,Automatic,Petrol
€29.000,Lefkosia,Audi,2021,A3 ,"1,5L",12000,Automatic,Petrol
€10.900,Larnaca,Nissan,2018,Cube ,"1,5L",27000,Automatic,Petrol
€16.500,Limassol,Mazda,2019,Demio ,"1,5L",13000,Automatic,Petrol
€16.500,Limassol,Mazda,2020,2 ,"1,5L",20000,Automatic,Petrol
€20.900,Limassol,Toyota,2021,Raize ,"1,0L",9000,Automatic,Petrol
€17.000,Larnaca,BMW,2013,5-Series ,"2,0L",237300,Automatic,Diesel
€2.000,Paphos,Volkswagen,1999,Polo ,"1,6L",106000,Automatic,Petrol
€1.000,Lefkosia,Peugeot,2008,205 ,"1,8L",95000,Automatic,Petrol
€24.990,Lefkosia,BMW,2013,X5 ,"3,0L",168000,Automatic,Diesel
€670,Lefkosia,Toyota,1995,Cynos ,"1,3L",295728,Manual,Petrol
€1.500,Larnaca,Cars,2006,Proton ,"1,6L",130,Manual,Petrol
€600,Lefkosia,"Opel,",1998,Vauxhall Astra ,"1,7L",155000,Manual,Diesel
€3.450,Limassol,Mercedes-Benz,2007,E-Class ,"2,0L",200000,Automatic,Diesel
€9.888,Limassol,Suzuki,2015,Swift ,"1,2L",110000,Automatic,Petrol
€24.500,Larnaca,Jeep,2020,Renegade ,"1,6L",40000,Automatic,Diesel
€42.000,Larnaca,Maserati,2015,Quattroporte ,"3,0L",72200,Automatic,Diesel
